id,tokens,ner_tags
0,Denali,1
0,stands,0
0,as,0
0,the,0
0,highest,0
0,peak,0
0,in,0
0,North,0
0,America,0

1,Elbrus,1
1,rises,0
1,as,0
1,the,0
1,highest,0
1,mountain,0
1,in,0
1,Russia,0

2,Kilimanjaro,1
2,remains,0
2,as,0
2,the,0
2,tallest,0
2,volcano,0
2,in,0
2,Africa,0

3,Aconcagua,1
3,stands,0
3,as,0
3,the,0
3,tallest,0
3,mountain,0
3,in,0
3,South,0
3,America,0

4,Logan,1
4,marks,0
4,the,0
4,highest,0
4,point,0
4,in,0
4,Canada,0

5,McKinley,1
5,formerly,0
5,known,0
5,as,0
5,Denali,1
5,is,0
5,the,0
5,tallest,0
5,peak,0
5,in,0
5,North,0
5,America,0

6,K2,1
6,stands,0
6,among,0
6,the,0
6,tallest,0
6,mountains,0
6,in,0
6,the,0
6,world,0

7,Matterhorn,1
7,rises,0
7,in,0
7,the,0
7,Alps,0
7,on,0
7,the,0
7,border,0
7,between,0
7,Switzerland,0
7,and,0
7,Italy,0

8,Mont,1
8,Blanc,2
8,is,0
8,the,0
8,highest,0
8,mountain,0
8,in,0
8,the,0
8,Alps,0

9,Mount,1
9,Fuji,2
9,is,0
9,an,0
9,iconic,0
9,volcano,0
9,in,0
9,Japan,0

10,Mount,1
10,Elbert,2
10,rises,0
10,as,0
10,the,0
10,highest,0
10,summit,0
10,in,0
10,the,0
10,Rockies,0

11,Mount,1
11,Kosciuszko,2
11,is,0
11,the,0
11,highest,0
11,peak,0
11,in,0
11,Australia,0

12,Mount,1
12,Olympus,2
12,rises,0
12,as,0
12,the,0
12,highest,0
12,mountain,0
12,in,0
12,Greece,0

13,Mount,1
13,Vinson,2
13,is,0
13,the,0
13,highest,0
13,mountain,0
13,in,0
13,Antarctica,0

14,Mount,1
14,Everest,2
14,stands,0
14,as,0
14,the,0
14,highest,0
14,mountain,0
14,in,0
14,the,0
14,world,0

15,Denali,1
15,formerly,0
15,known,0
15,as,0
15,Mount,0
15,McKinley,0
15,is,0
15,the,0
15,tallest,0
15,mountain,0
15,in,0
15,North,0
15,America,0

16,Kangchenjunga,1
16,rises,0
16,as,0
16,the,0
16,third,0
16,highest,0
16,mountain,0
16,in,0
16,the,0
16,world,0

17,Mount,1
17,Kilimanjaro,2
17,is,0
17,a,0
17,conical,0
17,mountain,0
17,in,0
17,Tanzania,0

18,Mount,1
18,Denali,2
18,rises,0
18,above,0
18,Alaska,0

19,Mount,1
19,Logan,2
19,dominates,0
19,the,0
19,landscape,0
19,of,0
19,Yukon,0

20,Mount,1
20,Olympus,2
20,represents,0
20,the,0
20,highest,0
20,point,0
20,in,0
20,Greece,0

21,Mount,1
21,Whitney,2
21,stands,0
21,as,0
21,the,0
21,tallest,0
21,mountain,0
21,in,0
21,California,0

22,Mount,1
22,Fuji,2
22,remains,0
22,an,0
22,active,0
22,stratovolcano,0
22,in,0
22,Japan,0

